time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-30T14:43:26.515Z,38.4316,-118.9027,6.6,1,ml,10,94.05,0.11,0.1603,nn,nn00576188,2017-01-30T17:26:17.239Z,"26km WSW of Hawthorne, Nevada",earthquake,,3.4,0.22,3,reviewed,nn,nn
2017-01-30T14:42:46.160Z,38.8621674,-122.7795029,2.78,1.02,md,14,179,0.01559,0.03,nc,nc72757920,2017-01-30T15:10:04.527Z,"6km NW of Cobb, California",earthquake,0.55,0.66,0.15,5,automatic,nc,nc
2017-01-30T14:40:48.205Z,62.888,-149.6202,66.3,1.9,ml,,,,0.54,ak,ak15176980,2017-01-30T14:55:08.345Z,"65km SSW of Cantwell, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-01-30T14:40:24.100Z,38.8673325,-122.7758331,3.34,1.35,md,22,116,0.02078,0.04,nc,nc72757915,2017-01-30T14:56:03.721Z,"6km NW of Cobb, California",earthquake,0.3,0.63,0.17,7,automatic,nc,nc
2017-01-30T14:33:04.400Z,38.4084,-118.8856,0.2,0.8,ml,5,285.83,0.338,0.1375,nn,nn00576229,2017-01-30T19:26:39.256Z,"26km WSW of Hawthorne, Nevada",earthquake,,4.3,0,1,reviewed,nn,nn
2017-01-30T14:30:42.273Z,38.4227,-118.8501,10,0.6,ml,5,280.57,0.321,0.1813,nn,nn00576227,2017-01-30T19:23:28.426Z,"22km WSW of Hawthorne, Nevada",earthquake,,18.9,0.05,2,reviewed,nn,nn
2017-01-30T14:29:07.732Z,37.0018,-117.6716,3.4,0.8,ml,9,198.85,0.232,0.1132,nn,nn00576185,2017-01-30T14:57:53.848Z,"56km NE of Lone Pine, California",earthquake,,8.3,0.21,6,reviewed,nn,nn
2017-01-30T14:27:20.125Z,60.4996,-150.1927,39.5,1.9,ml,,,,0.4,ak,ak15176978,2017-01-30T14:35:03.175Z,"31km E of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-30T14:16:20.700Z,19.4101,-65.1408,71,3.4,Md,10,298.8,1.1049278,0.47,pr,pr17030001,2017-01-30T17:26:52.040Z,"120km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.7,17.2,0,6,reviewed,pr,pr
2017-01-30T14:04:10.020Z,-11.7944,166.4393,54.21,5.1,mb,,70,6.797,0.6,us,us10007w6e,2017-01-30T17:23:07.040Z,"136km SSE of Lata, Solomon Islands",earthquake,9.2,4.3,0.065,78,reviewed,us,us
2017-01-30T14:00:46.530Z,33.479,-116.5131667,12.98,0.48,ml,17,243,0.07604,0.12,ci,ci37575647,2017-01-30T18:53:07.754Z,"17km ESE of Anza, CA",earthquake,0.45,0.37,0.15,7,reviewed,ci,ci
2017-01-30T13:53:25.240Z,-44.1394,168.679,10,4.9,mb,,98,0.729,0.31,us,us10007w6b,2017-01-30T16:48:47.040Z,"72km NNW of Wanaka, New Zealand",earthquake,3,1.9,0.324,6,reviewed,us,us
2017-01-30T13:49:55.604Z,59.7732,-153.3925,129.3,2.4,ml,,,,0.84,ak,ak15176853,2017-01-30T13:56:37.002Z,"85km E of Old Iliamna, Alaska",earthquake,,2.1,,,automatic,ak,ak
2017-01-30T13:48:44.520Z,48.598,-123.0585,14.31,1.51,ml,6,88,0.06016,0.22,uw,uw61247641,2017-01-30T17:07:45.200Z,"7km NNW of Friday Harbor, Washington",earthquake,0.81,1.51,0.092,5,reviewed,uw,uw
2017-01-30T13:40:31.700Z,48.6056667,-123.051,14.11,0.27,md,4,123,0.06483,0.15,uw,uw61247636,2017-01-30T17:05:42.160Z,"8km NNW of Friday Harbor, Washington",earthquake,0.73,1.47,0.063,3,reviewed,uw,uw
2017-01-30T13:37:24.830Z,34.5878,-36.5996,10,5.2,mb,,48,9.497,0.7,us,us10007w68,2017-01-30T16:34:47.040Z,Northern Mid-Atlantic Ridge,earthquake,7.3,1.8,0.035,270,reviewed,us,us
