time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-24T08:01:27.710Z,38.8338318,-122.767334,2.53,0.56,md,7,144,0.003914,0.03,nc,nc72755700,2017-01-24T08:52:03.202Z,"4km WNW of Cobb, California",earthquake,1.61,1.94,,1,automatic,nc,nc
2017-01-24T07:59:45.160Z,38.8388329,-122.8304977,1.99,1.97,md,25,56,0.003904,0.03,nc,nc72755690,2017-01-24T08:40:02.183Z,"9km WNW of Cobb, California",earthquake,0.19,0.33,0.13,11,automatic,nc,nc
2017-01-24T07:59:05.090Z,38.8398323,-122.8306656,2,1.65,md,20,57,0.003965,0.02,nc,nc72755695,2017-01-24T08:27:04.161Z,"9km WNW of Cobb, California",earthquake,0.21,0.4,0.13,8,automatic,nc,nc
2017-01-24T07:56:58.090Z,38.840332,-122.8335037,2.27,1.82,md,23,59,0.00233,0.06,nc,nc72755685,2017-01-24T08:14:02.127Z,"9km WNW of Cobb, California",earthquake,0.28,0.44,0.16,9,automatic,nc,nc
2017-01-24T07:53:56.890Z,33.1703333,-116.5373333,15.31,1.66,ml,58,30,0.09657,0.19,ci,ci37572823,2017-01-24T15:05:50.730Z,"12km NNE of Julian, CA",earthquake,0.18,0.38,0.147,54,reviewed,ci,ci
2017-01-24T07:24:31.460Z,33.2481667,-116.4068333,5.83,1.04,ml,33,89,0.02177,0.17,ci,ci37572815,2017-01-24T14:54:27.987Z,"3km WSW of Borrego Springs, CA",earthquake,0.24,0.43,0.133,17,reviewed,ci,ci
2017-01-24T07:20:00.773Z,62.0082,-149.7715,36,1.8,ml,,,,0.41,ak,ak15142376,2017-01-24T07:26:36.356Z,"17km SSE of Y, Alaska",earthquake,,3.4,,,automatic,ak,ak
2017-01-24T06:31:04.870Z,19.3735008,-155.280838,1.65,1.96,ml,26,102,0.01299,0.18,hv,hv61576331,2017-01-24T06:36:45.780Z,"7km SW of Volcano, Hawaii",earthquake,0.19,0.24,0.15,3,automatic,hv,hv
2017-01-24T06:21:30.000Z,19.1733341,-155.4776611,35.21,1.99,md,39,159,0.0231,0.18,hv,hv61576321,2017-01-24T06:24:53.160Z,"3km S of Pahala, Hawaii",earthquake,0.68,0.93,0.12,8,automatic,hv,hv
2017-01-24T06:14:12.500Z,18.6387,-67.2823,70,3.4,Md,23,198,0.2353586,0.36,pr,pr17024000,2017-01-24T06:47:39.288Z,"25km NW of San Antonio, Puerto Rico",earthquake,1.3,1.1,0,18,reviewed,pr,pr
2017-01-24T05:57:40.390Z,36.3031654,-120.883667,6.41,2.15,md,15,124,0.1096,0.09,nc,nc72755675,2017-01-24T06:27:44.290Z,"23km ENE of King City, California",earthquake,0.39,1.29,0.17,11,automatic,nc,nc
2017-01-24T05:36:44.200Z,18.177,-65.888,7,1.5,Md,7,90,0.04940734,0.33,pr,pr17024003,2017-01-24T07:49:36.486Z,"2km WSW of Las Piedras, Puerto Rico",earthquake,0.6,0.5,0,3,reviewed,pr,pr
2017-01-24T05:18:51.310Z,35.51,-97.2201,4.28,2.6,mb_lg,,37,0.119,0.46,us,us10007v4g,2017-01-24T14:52:53.325Z,"4km ENE of Choctaw, Oklahoma",earthquake,0.7,3.3,0.12,18,reviewed,us,us
2017-01-24T05:16:13.501Z,62.903,-149.0186,64.1,1.8,ml,,,,0.96,ak,ak15141594,2017-01-24T05:34:11.767Z,"54km S of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-01-24T05:11:25.718Z,62.8738,-143.4186,0,2.7,ml,,,,0.87,ak,ak15141592,2017-01-24T05:25:18.756Z,"56km SSW of Tok, Alaska",earthquake,,9.7,,,automatic,ak,ak
2017-01-24T05:02:20.280Z,38.7949982,-122.8099976,2.89,1.12,md,15,125,0.01731,0.02,nc,nc72755670,2017-01-24T05:20:02.786Z,"5km WNW of The Geysers, California",earthquake,0.36,0.59,0.1,6,automatic,nc,nc
2017-01-24T04:53:38.550Z,19.3026676,-155.3894958,4.15,1.75,md,23,90,0.03078,0.16,hv,hv61576126,2017-01-24T04:57:00.210Z,"14km NE of Pahala, Hawaii",earthquake,0.31,0.82,0.2,8,automatic,hv,hv
2017-01-24T04:51:56.900Z,18.2917,-68.5948,89,2.8,Md,4,298.8,0.3000373,0,pr,pr17024002,2017-01-24T07:48:56.286Z,"9km S of Boca de Yuma, Dominican Republic",earthquake,3.9,1.4,0,2,reviewed,pr,pr
2017-01-24T04:42:53.005Z,62.9225,-150.4906,93.8,1.6,ml,,,,0.52,ak,ak15141588,2017-01-24T04:56:27.052Z,"69km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-24T04:30:13.260Z,38.8251648,-122.796669,2.35,0.45,md,10,122,0.01062,0.02,nc,nc72755660,2017-01-24T04:52:01.739Z,"6km W of Cobb, California",earthquake,0.54,0.48,0.12,2,automatic,nc,nc
